name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-07,80.3,73.6,76.6,86.5,73.6,76.9,75,94.7,1.316,100,12.5,rain,0,0,20.1,16.1,105.4,1012.9,81.1,6.1,146.3,12.7,6,75,2025-08-07T05:55:34,2025-08-07T18:26:47,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-08,87.5,76.9,81,102,76.9,86.8,77.4,89.4,0.055,100,8.33,rain,0,0,23.3,13.9,115.5,1012.6,73.7,7.1,207.5,18,8,60,2025-08-08T05:55:39,2025-08-08T18:26:25,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-09,84.4,76.9,80.3,94.6,76.9,84.3,76.2,87.8,0.54,100,8.33,rain,0,0,17,10.3,286,1014.2,75.6,7.3,213.1,18.1,8,60,2025-08-09T05:55:45,2025-08-09T18:26:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-10,89.5,75.2,81.5,100.2,75.2,86.4,75.4,82.9,0,0,0,rain,0,0,14.1,15,108.1,1014.4,68.5,8.5,208.6,18,8,60,2025-08-10T05:55:49,2025-08-10T18:25:40,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-11,89.7,75.4,82.6,104.7,75.4,89.6,76.6,83,0,0,0,rain,0,0,20.1,12.8,115.4,1013.6,57.5,8,230.9,20,8,75,2025-08-11T05:55:54,2025-08-11T18:25:16,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-12,89.8,77.2,83.6,105.2,77.2,92,76.8,80.6,0,0,0,rain,0,0,21,16.1,102,1012.8,45.9,5.4,237,20.4,9,60,2025-08-12T05:55:58,2025-08-12T18:24:51,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-13,89.7,75.4,82.5,102.6,75.4,88.5,75.5,80.4,0,0,0,rain,0,0,18.6,12.8,110.6,1012.1,46.8,7.1,235.1,20.4,9,30,2025-08-13T05:56:02,2025-08-13T18:24:26,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-14,85.8,75.4,80.7,99.1,75.4,86.8,77,88.7,0.012,100,4.17,rain,0,0,17.2,11.4,117.4,1012.7,53.5,7.4,230.2,19.9,8,60,2025-08-14T05:56:05,2025-08-14T18:24:00,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-15,86.2,76.8,78.9,99.5,76.8,81.4,76.6,92.8,0.63,100,4.17,rain,0,0,18.8,6.9,129,1013.2,72.8,7.6,245,21.1,9,60,2025-08-15T05:56:08,2025-08-15T18:23:33,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-16,87.5,75,78.3,102.1,75,81.4,76,92.7,4.094,100,8.33,rain,0,0,19,15,73.3,1012.5,67.1,7.3,258.1,22.2,9,30,2025-08-16T05:56:10,2025-08-16T18:23:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
