name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-08,87.7,73.5,80.3,92.7,73.5,82.0,69.8,71.6,0.0,0,0.0,11.4,109.3,1015.1,34.8,6.2,261.9,22.4,9,2026-02-08T06:27:34,2026-02-08T18:11:39,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-09,87.7,73.4,79.9,94.1,73.4,82.2,71.1,75.4,0.112,100,66.67,14.9,116.0,1014.8,38.0,6.3,211.4,18.3,7,2026-02-09T06:27:20,2026-02-09T18:11:56,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-10,86.0,75.2,79.8,89.4,75.2,81.3,69.6,72.1,0.016,100,16.67,19.6,95.7,1015.1,34.3,5.9,263.5,22.9,9,2026-02-10T06:27:06,2026-02-10T18:12:13,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-11,86.0,73.4,79.4,90.5,73.4,80.8,68.6,70.6,0.048,100,33.33,20.7,101.3,1014.7,39.4,6.2,246.5,21.2,8,2026-02-11T06:26:51,2026-02-11T18:12:28,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-12,86.0,73.5,79.3,90.6,73.5,81.0,70.6,75.8,0.076,100,62.5,17.2,108.3,1014.4,37.4,6.1,253.3,21.7,9,2026-02-12T06:26:34,2026-02-12T18:12:43,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-13,84.2,75.2,79.2,89.6,75.2,81.0,71.4,77.8,0.092,100,75.0,13.9,105.8,1013.6,54.8,5.8,231.0,20.0,8,2026-02-13T06:26:17,2026-02-13T18:12:58,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-14,85.9,73.4,79.5,90.6,73.4,81.4,71.1,76.4,0.004,100,4.17,13.8,100.4,1013.2,37.0,6.1,262.9,22.8,9,2026-02-14T06:25:59,2026-02-14T18:13:12,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-15,87.7,75.2,80.0,91.4,75.2,81.7,70.3,73.8,0.0,0,0.0,15.0,98.6,1013.2,41.5,6.2,262.6,22.7,9,2026-02-15T06:25:40,2026-02-15T18:13:25,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-16,87.7,73.4,80.2,90.5,73.4,81.8,69.8,71.9,0.004,100,4.17,16.0,92.0,1013.7,41.3,6.2,269.7,23.4,9,2026-02-16T06:25:21,2026-02-16T18:13:38,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-17,87.7,75.2,79.8,90.3,75.2,81.4,70.6,74.8,0.044,100,45.83,14.9,112.6,1014.0,38.2,6.2,249.5,21.6,9,2026-02-17T06:25:00,2026-02-17T18:13:50,0.0,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
