name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-25,87.0,70.2,78.3,100.7,70.2,80.3,69.2,75.2,0.06,100,37.5,10.7,52.0,1011.6,41.1,6.2,217.8,18.9,7,2025-12-25T06:19:42,2025-12-25T17:50:01,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-26,85.6,72.0,78.3,89.2,72.0,79.8,68.9,73.9,0.036,100,29.17,14.1,105.3,1012.7,46.4,6.2,218.8,18.9,8,2025-12-26T06:20:10,2025-12-26T17:50:32,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-27,85.6,73.8,78.9,92.9,73.8,80.7,71.0,77.7,0.464,100,66.67,16.7,101.2,1012.8,64.0,6.1,160.2,13.7,6,2025-12-27T06:20:37,2025-12-27T17:51:04,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-28,85.2,73.4,78.1,93.8,73.4,80.3,73.6,86.1,1.157,100,91.67,13.5,99.3,1013.0,65.5,6.3,151.1,13.2,6,2025-12-28T06:21:03,2025-12-28T17:51:36,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-29,87.2,75.2,79.6,96.9,75.2,82.6,73.9,83.3,0.739,100,75.0,16.1,99.8,1012.9,52.2,6.2,147.7,12.8,7,2025-12-29T06:21:30,2025-12-29T17:52:08,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-30,85.8,75.4,79.7,92.0,75.4,82.6,73.4,81.5,0.166,100,37.5,18.1,109.4,1013.4,51.4,6.2,198.5,17.1,8,2025-12-30T06:21:55,2025-12-30T17:52:41,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-31,85.8,75.4,79.6,90.8,75.4,81.6,71.5,77.0,0.04,100,29.17,13.7,105.3,1014.5,35.7,6.2,214.5,18.5,8,2025-12-31T06:22:20,2025-12-31T17:53:13,0.4,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-01,85.8,73.4,79.1,90.9,73.4,81.1,70.9,76.8,0.032,100,16.67,13.4,104.6,1013.8,32.2,6.2,226.1,19.7,9,2026-01-01T06:22:44,2026-01-01T17:53:46,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-02,85.0,73.6,78.9,91.1,73.6,81.0,71.3,78.4,0.044,100,25.0,15.2,98.5,1012.6,41.0,6.5,230.6,20.0,8,2026-01-02T06:23:07,2026-01-02T17:54:18,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"TTPP,TDW00011634,TTCP,remote,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-03,85.8,75.2,79.7,91.6,75.2,81.7,71.1,75.8,0.04,100,33.33,13.7,100.7,1012.9,46.8,6.2,212.9,18.4,7,2026-01-03T06:23:30,2026-01-03T17:54:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-04,84.2,75.2,79.0,88.7,75.2,80.8,70.6,76.3,0.052,100,29.17,14.4,105.0,1013.0,38.0,6.2,217.6,19.0,8,2026-01-04T06:23:52,2026-01-04T17:55:24,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-05,87.4,72.0,78.8,95.4,72.0,80.7,70.1,75.6,0.028,100,20.83,12.4,109.9,1012.3,40.1,6.2,219.5,18.9,7,2026-01-05T06:24:13,2026-01-05T17:55:56,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-06,87.4,72.2,79.2,94.0,72.2,81.3,70.7,76.4,0.052,100,29.17,12.4,104.3,1012.2,53.5,6.4,215.5,18.7,7,2026-01-06T06:24:34,2026-01-06T17:56:29,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-07,85.8,72.0,79.0,92.0,72.0,81.1,70.8,76.6,0.04,100,29.17,13.4,96.7,1013.3,54.6,6.2,217.5,18.8,8,2026-01-07T06:24:53,2026-01-07T17:57:01,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-08,86.0,73.6,79.8,91.0,73.6,81.8,70.7,74.7,0.02,100,16.67,13.7,104.4,1013.3,32.7,6.2,230.9,20.0,8,2026-01-08T06:25:12,2026-01-08T17:57:34,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-09,80.4,73.6,77.1,85.5,73.6,77.9,71.8,84.1,0.472,100,66.67,13.9,93.4,1013.2,61.1,6.2,165.5,14.4,6,2026-01-09T06:25:29,2026-01-09T17:58:06,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-10,79.6,73.4,75.8,79.6,73.4,75.8,71.2,85.8,0.518,100,79.17,12.6,105.1,1012.8,63.9,6.2,131.8,11.4,6,2026-01-10T06:25:46,2026-01-10T17:58:38,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-11,86.0,72.2,78.4,90.7,72.2,80.0,70.6,78.2,0.044,100,29.17,15.2,94.9,1012.5,56.1,6.2,223.7,19.3,8,2026-01-11T06:26:02,2026-01-11T17:59:10,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-12,86.0,73.6,77.8,90.9,73.6,79.4,70.8,79.9,0.339,100,41.67,13.2,101.1,1013.3,63.9,6.4,184.5,15.8,7,2026-01-12T06:26:17,2026-01-12T17:59:41,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-13,84.2,73.6,78.0,89.9,73.6,79.4,71.1,79.9,0.219,100,58.33,11.4,101.8,1013.0,59.9,6.2,132.0,11.4,6,2026-01-13T06:26:31,2026-01-13T18:00:12,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
