name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Scarborough, Tobago, Trinidad And Tobago",2025-08-25,89.6,77.0,83.0,108.2,77.0,91.5,77.1,82.8,0.12,100,62.5,19.7,106.0,1013.1,60.9,5.9,246.7,21.3,9,2025-08-25T05:53:04,2025-08-25T18:16:48,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-26,87.8,77.0,82.5,100.0,77.0,89.2,76.0,81.1,0.295,100,75.0,12.8,90.4,1014.3,46.6,6.3,258.9,22.5,8,2025-08-26T05:53:04,2025-08-26T18:16:13,0.11,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-27,87.8,80.6,83.9,102.4,86.2,93.7,77.1,80.2,0.159,100,37.5,10.3,122.4,1015.5,64.6,6.0,259.2,22.5,9,2025-08-27T05:53:04,2025-08-27T18:15:38,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-28,87.8,78.8,82.0,102.4,78.8,89.2,76.9,84.9,0.194,100,37.5,11.4,55.8,1015.9,55.4,6.1,244.8,21.1,9,2025-08-28T05:53:04,2025-08-28T18:15:03,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-29,87.8,78.8,83.4,102.4,78.8,92.8,77.7,83.5,0.391,100,83.33,11.4,65.8,1013.0,57.2,6.2,202.3,17.5,6,2025-08-29T05:53:03,2025-08-29T18:14:28,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-30,89.5,80.5,83.6,104.9,85.1,92.4,76.5,79.5,0.064,100,41.67,15.0,89.3,1011.5,38.1,6.2,249.4,21.5,8,2025-08-30T05:53:03,2025-08-30T18:13:52,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,TTCP
"Scarborough, Tobago, Trinidad And Tobago",2025-08-31,87.7,76.9,82.1,104.9,76.9,89.3,76.7,84.0,0.1,100,66.67,13.9,95.5,1012.7,36.0,6.0,246.2,21.4,8,2025-08-31T05:53:02,2025-08-31T18:13:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,TTCP
"Scarborough, Tobago, Trinidad And Tobago",2025-09-01,87.7,80.5,83.2,102.1,85.9,92.2,76.8,81.4,0.124,100,58.33,10.3,105.7,1012.8,40.7,6.1,249.5,21.9,8,2025-09-01T05:53:00,2025-09-01T18:12:38,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,TTCP
"Scarborough, Tobago, Trinidad And Tobago",2025-09-02,87.9,78.7,84.0,102.7,78.7,93.3,76.6,78.8,0.072,100,45.83,15.0,103.6,1013.4,30.2,6.3,271.3,23.3,9,2025-09-02T05:52:59,2025-09-02T18:12:01,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-03,87.8,78.8,82.6,100.0,78.8,89.4,75.8,80.5,0.513,100,66.67,11.4,85.1,1013.2,39.3,6.0,228.0,19.6,8,2025-09-03T05:52:57,2025-09-03T18:11:24,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
